setting,climate_variable,lag_weeks,n,beta,se,p_value,adjusted_r2,q_value_fdr_bh,significant_fdr_0_05,ci_lower,ci_upper
Mexico,humidity,1,362,0.013023786060459841,0.09572156099420384,0.8917745881600049,0.6611990652415634,0.9305564067786832,False,-0.1745904734881797,0.20063804560909937
Mexico,humidity,2,360,-0.01937479283298371,0.1193363739868265,0.8710267288044046,0.6618214561632971,0.9305564067786832,False,-0.25327408584716365,0.21452450018119623
Mexico,humidity,4,356,0.30508750536312257,0.20926193853836886,0.14486214739833708,0.6655604928389482,0.4090225338305988,False,-0.1050658941720804,0.7152409048983255
Mexico,humidity,6,352,0.20476413721224596,0.17784742006633658,0.24958940765552762,0.66097581318754,0.5395893360844026,False,-0.14381680611777375,0.5533450805422657
Mexico,humidity,8,348,0.08995856514933331,0.13610391696016322,0.5086411693008932,0.6571828543009532,0.7777450505330814,False,-0.1768051120925866,0.3567222423912532
Peru,rainfall,0,362,-0.09077542220711499,0.06908808518041566,0.18887699869751606,0.8154889299338371,0.44587357069577566,False,-0.22618806916072967,0.0446372247464997
Peru,rainfall,1,362,0.057122918942287215,0.04939900816465359,0.24753491353977952,0.8148835619424679,0.5395893360844026,False,-0.03969913706043382,0.15394497494500825
Peru,rainfall,2,360,0.007521020721253713,0.05881397274659092,0.8982454204322012,0.8153260850003451,0.9305564067786832,False,-0.1077543658620645,0.12279640730457192
Peru,rainfall,4,356,0.018421422101142337,0.05851028786311372,0.7528825804597632,0.8152312278187159,0.8846252066235992,False,-0.09625874211056056,0.13310158631284524
Peru,rainfall,6,352,-0.03840200158029611,0.03956188372983522,0.3317067442070627,0.8151930656650012,0.6201123505180195,False,-0.11594329369077314,0.03913929053018092
Peru,rainfall,8,348,0.12340184851485991,0.05623275509980235,0.02820067488084853,0.8164791868815724,0.18351601371399928,False,0.013185648519247306,0.23361804851047252
Peru,temperature,0,362,0.07747202813962673,0.04415003237079562,0.07930301419387713,0.8157163376437541,0.2777672922352831,False,-0.00906203530713269,0.16400609158638613
Peru,temperature,1,362,0.020318819596699164,0.030684574956724296,0.5078536199582112,0.8145685267311819,0.7777450505330814,False,-0.039822947318480455,0.08046058651187879
Peru,temperature,2,360,0.06369444885042516,0.03908284146246093,0.10315873823171742,0.8161690151109613,0.32070681468287254,False,-0.012907920415998267,0.14029681811684858
Peru,temperature,4,356,0.13342472431554153,0.04076517578978277,0.0010640967046328142,0.8188909500248339,0.025538320911187542,True,0.053524979767567316,0.21332446886351575
Peru,temperature,6,352,0.060966854714595425,0.03757357938633612,0.10467514090343757,0.8157586622680175,0.32070681468287254,False,-0.012677360882623362,0.1346110703118142
Peru,temperature,8,348,0.017748957977845106,0.04349276381624497,0.6832076690408713,0.8146807966262049,0.8550107095981829,False,-0.06749685910199503,0.10299477505768524
Peru,humidity,0,362,0.028393762781353304,0.0657066656829983,0.6656475805859601,0.8145710133251134,0.8550107095981829,False,-0.10039130195732335,0.15717882752002996
Peru,humidity,1,362,-0.00818810402318948,0.056417384030782385,0.8846047467622449,0.8144902343016561,0.9305564067786832,False,-0.11876617672352295,0.10238996867714399
Peru,humidity,2,360,0.0017969107252282512,0.048320203658571044,0.9703354532686327,0.8153194140135585,0.9771210158789028,False,-0.09291068844557099,0.09650450989602749
Peru,humidity,4,356,0.0280853497910577,0.056667509867002586,0.6201650479884525,0.8152756199951482,0.8332051835686068,False,-0.08298296954826737,0.13915366913038277
Peru,humidity,6,352,-0.010988237187362415,0.05218727129409453,0.8332353331273712,0.8150239297873859,0.9301231625607864,False,-0.11327528892378769,0.09129881454906286
Peru,humidity,8,348,-0.021010769633920345,0.04465395710057275,0.6379805136147314,0.8146640907174566,0.8332051835686068,False,-0.10853252555104294,0.06651098628320225
Philippines,rainfall,0,353,0.03832662736402981,0.015320125880855413,0.012359249259135771,0.9083434839712057,0.12724423809938643,False,0.008299180637553197,0.06835407409050642
